distance,1,2,3,average,sigma
5,11.2,14.0,14.4,13.20,1.423610434
10,36.8,37.6,38.0,37.47,0.498887652
15,60.4,62.4,65.2,62.67,1.968643075
20,85.6,85.6,88.8,86.67,1.508494467
25,122,125,130,125.7,3.299831646
30,150,149,150,149.7,0.471404521
35,184,182,182,182.7,0.942809042
40,206,206,226,212.7,9.428090416
45,228,228,226,227.3,0.942809042
50,244,240,242,242.0,1.632993162
55,262,256,258,258.7,2.494438258
60,272,274,272,272.7,0.942809042
65,276,278,282,278.7,2.494438258
70,302,304,286,297.3,8.055363982
75,298,302,298,299.3,1.885618083
80,322,328,314,321.3,5.734883511
85,330,332,330,330.7,0.942809042
90,348,332,340,340.0,6.531972647
95,356,348,350,351.3,3.399346342
